institution,rank_2025,cycle,party,committee_type,total
Cal St Long Beach,109,2020,DEM,Y,1585.0
Cal St Long Beach,109,2024,DEM,H,720.0
Cal St Long Beach,109,2024,DEM,S,1783.0
Cal St Long Beach,109,2024,DEM,Y,2973.0
Caltech,6,2008,DEM,H,10950.0
Caltech,6,2008,DEM,S,500.0
Caltech,6,2008,DEM,Y,2000.0
Caltech,6,2008,REP,Y,500.0
Caltech,6,2012,DEM,H,6250.0
Caltech,6,2012,DEM,S,3650.0
Caltech,6,2012,DEM,Y,6100.0
Caltech,6,2016,DEM,H,5650.0
Caltech,6,2016,DEM,P,6563.0
Caltech,6,2016,DEM,S,5672.0
Caltech,6,2016,DEM,Y,12386.0
Caltech,6,2016,REP,P,1812.0
Caltech,6,2016,REP,Y,295.0
Caltech,6,2020,DEM,H,29165.0
Caltech,6,2020,DEM,P,12615.0
Caltech,6,2020,DEM,S,72383.0
Caltech,6,2020,DEM,Y,28289.0
Caltech,6,2020,REP,H,250.0
Caltech,6,2020,REP,S,950.0
Caltech,6,2020,REP,Y,2187.0
Caltech,6,2024,DEM,H,38108.0
Caltech,6,2024,DEM,S,36680.0
Caltech,6,2024,DEM,Y,19014.0
Caltech,6,2024,REP,S,1050.0
Caltech,6,2024,REP,Y,150.0
Carnegie Mellon,21,2008,DEM,H,250.0
Carnegie Mellon,21,2008,DEM,Y,6850.0
Carnegie Mellon,21,2008,REP,Y,250.0
Carnegie Mellon,21,2012,DEM,H,950.0
Carnegie Mellon,21,2012,DEM,S,4200.0
Carnegie Mellon,21,2012,DEM,Y,11679.0
Carnegie Mellon,21,2012,REP,P,1000.0
Carnegie Mellon,21,2016,DEM,H,2100.0
Carnegie Mellon,21,2016,DEM,P,10258.0
Carnegie Mellon,21,2016,DEM,S,6555.0
Carnegie Mellon,21,2016,DEM,Y,18229.0
Carnegie Mellon,21,2016,REP,P,400.0
Carnegie Mellon,21,2016,REP,S,165.0
Carnegie Mellon,21,2016,REP,Y,201.0
Carnegie Mellon,21,2020,DEM,H,12821.0
Carnegie Mellon,21,2020,DEM,P,32898.0
Carnegie Mellon,21,2020,DEM,S,61022.0
Carnegie Mellon,21,2020,DEM,Y,29067.0
Carnegie Mellon,21,2020,REP,H,1500.0
Carnegie Mellon,21,2020,REP,Y,101.0
Carnegie Mellon,21,2024,DEM,H,46577.0
Carnegie Mellon,21,2024,DEM,S,64300.0
Carnegie Mellon,21,2024,DEM,Y,20125.0
Carnegie Mellon,21,2024,REP,H,1555.0
Carnegie Mellon,21,2024,REP,P,250.0
Carnegie Mellon,21,2024,REP,S,250.0
Case Western,51,2008,DEM,H,250.0
Case Western,51,2008,DEM,S,500.0
Case Western,51,2008,DEM,Y,3300.0
Case Western,51,2008,REP,Y,1380.0
Case Western,51,2012,DEM,H,1000.0
Case Western,51,2012,DEM,S,500.0
Case Western,51,2012,DEM,Y,950.0
Case Western,51,2012,REP,S,250.0
Case Western,51,2012,REP,Y,220.0
Case Western,51,2016,DEM,H,1300.0
Case Western,51,2016,DEM,P,2651.0
Case Western,51,2016,DEM,S,550.0
Case Western,51,2016,DEM,Y,15977.0
Case Western,51,2016,REP,Y,510.0
Case Western,51,2020,DEM,H,3900.0
Case Western,51,2020,DEM,P,8633.0
Case Western,51,2020,DEM,S,22033.0
Case Western,51,2020,DEM,Y,15346.0
Case Western,51,2020,REP,S,2905.0
Case Western,51,2020,REP,Y,176.0
Case Western,51,2024,DEM,H,8850.0
Case Western,51,2024,DEM,S,5026.0
Case Western,51,2024,DEM,Y,29332.0
Case Western,51,2024,REP,H,6600.0
Case Western,51,2024,REP,Y,342.0
Chapman,121,2008,REP,H,2000.0
Chapman,121,2008,REP,Y,2585.0
Chapman,121,2012,DEM,S,400.0
Chapman,121,2012,REP,H,1750.0
Chapman,121,2012,REP,P,1500.0
Chapman,121,2012,REP,S,250.0
Chapman,121,2012,REP,Y,2000.0
Chapman,121,2016,DEM,H,1500.0
Chapman,121,2016,DEM,P,1740.0
Chapman,121,2016,DEM,S,6675.0
Chapman,121,2016,DEM,Y,1440.0
Chapman,121,2016,REP,H,5900.0
Chapman,121,2016,REP,P,5317.0
Chapman,121,2016,REP,S,1025.0
Chapman,121,2016,REP,Y,720.0
Chapman,121,2020,DEM,H,1240.0
Chapman,121,2020,DEM,P,3717.0
Chapman,121,2020,DEM,S,8300.0
Chapman,121,2020,DEM,Y,21422.0
Chapman,121,2020,REP,H,2500.0
Chapman,121,2020,REP,Y,6445.0
Chapman,121,2024,DEM,H,4110.0
Chapman,121,2024,DEM,S,1200.0
Chapman,121,2024,DEM,Y,8244.0
Chapman,121,2024,REP,H,3750.0
Chapman,121,2024,REP,S,1250.0
Chapman,121,2024,REP,Y,3074.0
Chicago,11,2008,DEM,H,38551.0
Chicago,11,2008,DEM,S,30475.0
Chicago,11,2008,DEM,Y,14342.0
Chicago,11,2008,REP,H,250.0
Chicago,11,2008,REP,Y,7452.0
Chicago,11,2012,DEM,H,77131.0
Chicago,11,2012,DEM,S,14100.0
Chicago,11,2012,DEM,Y,32093.0
Chicago,11,2012,REP,S,500.0
Chicago,11,2012,REP,Y,3250.0
Chicago,11,2016,DEM,H,66611.0
Chicago,11,2016,DEM,P,33862.0
Chicago,11,2016,DEM,S,24622.0
Chicago,11,2016,DEM,Y,24289.0
Chicago,11,2016,REP,H,3200.0
Chicago,11,2016,REP,P,5038.0
Chicago,11,2016,REP,Y,205.0
Chicago,11,2020,DEM,H,132419.0
Chicago,11,2020,DEM,P,110137.0
Chicago,11,2020,DEM,S,207512.0
Chicago,11,2020,DEM,Y,151694.0
Chicago,11,2020,REP,S,3331.0
Chicago,11,2020,REP,Y,8806.0
Chicago,11,2024,DEM,H,169582.0
Chicago,11,2024,DEM,P,250.0
Chicago,11,2024,DEM,S,70544.0
Chicago,11,2024,DEM,Y,163673.0
Chicago,11,2024,REP,H,2375.0
Chicago,11,2024,REP,S,1901.0
Chicago,11,2024,REP,Y,2948.0
Clark,132,2008,DEM,H,500.0
Clark,132,2008,DEM,Y,625.0
Clark,132,2012,DEM,H,250.0
