institution,rank_2025,cycle,party,committee_type,total
NYU,30,2008,DEM,S,20271.0
NYU,30,2008,DEM,V,38700.0
NYU,30,2008,DEM,Y,50275.0
NYU,30,2008,REP,H,8950.0
NYU,30,2008,REP,S,5600.0
NYU,30,2008,REP,Y,7825.0
New Hampshire,109,2008,DEM,V,2050.0
New Hampshire,109,2008,DEM,Y,250.0
North Carolina,27,2008,DEM,H,750.0
North Carolina,27,2008,DEM,V,17500.0
North Carolina,27,2008,DEM,Y,19533.0
North Carolina,27,2008,REP,Y,8200.0
Northeastern,54,2008,DEM,H,700.0
Northeastern,54,2008,DEM,S,6750.0
Northeastern,54,2008,DEM,V,5310.0
Northeastern,54,2008,DEM,Y,13500.0
Northeastern,54,2008,REP,H,500.0
Northeastern,54,2008,REP,Y,400.0
Northwestern,6,2008,DEM,H,17220.0
Northwestern,6,2008,DEM,S,12700.0
Northwestern,6,2008,DEM,V,44700.0
Northwestern,6,2008,DEM,Y,20070.0
Northwestern,6,2008,REP,H,250.0
Northwestern,6,2008,REP,Y,1950.0
Notre Dame,18,2008,DEM,H,500.0
Notre Dame,18,2008,DEM,S,10300.0
Notre Dame,18,2008,DEM,V,28500.0
Notre Dame,18,2008,DEM,Y,8040.0
Notre Dame,18,2008,REP,Y,4870.0
Ohio St,41,2008,DEM,H,4500.0
Ohio St,41,2008,DEM,V,2550.0
Ohio St,41,2008,DEM,Y,13683.0
Ohio St,41,2008,REP,H,10700.0
Ohio St,41,2008,REP,Y,15418.0
Oklahoma,132,2008,DEM,H,1500.0
Oklahoma,132,2008,DEM,V,475.0
Oklahoma,132,2008,DEM,Y,3684.0
Oklahoma,132,2008,REP,H,1450.0
Oklahoma,132,2008,REP,Y,250.0
Oregon,109,2008,DEM,S,7120.0
Oregon,109,2008,DEM,V,1450.0
Oregon,109,2008,DEM,Y,4597.0
Oregon St,144,2008,DEM,S,3625.0
Oregon St,144,2008,DEM,V,4700.0
Oregon St,144,2008,DEM,Y,5950.0
Oregon St,144,2008,REP,Y,915.0
Penn,10,2008,DEM,H,12900.0
Penn,10,2008,DEM,S,8340.0
Penn,10,2008,DEM,V,25190.0
Penn,10,2008,DEM,Y,30950.0
Penn,10,2008,REP,Y,1650.0
Penn State,63,2008,DEM,V,2600.0
Penn State,63,2008,DEM,Y,713.0
Penn State,63,2008,REP,H,300.0
Penn State,63,2008,REP,Y,1300.0
Pepperdine,80,2008,REP,H,300.0
Pepperdine,80,2008,REP,S,500.0
Pepperdine,80,2008,REP,Y,1500.0
Pitt,70,2008,DEM,H,2000.0
Pitt,70,2008,DEM,V,4400.0
Pitt,70,2008,DEM,Y,10800.0
Pitt,70,2008,REP,S,300.0
Pitt,70,2008,REP,Y,2970.0
Princeton,1,2008,DEM,H,10100.0
Princeton,1,2008,DEM,S,17725.0
Princeton,1,2008,DEM,V,8350.0
Princeton,1,2008,DEM,Y,58795.0
Princeton,1,2008,REP,H,5100.0
Princeton,1,2008,REP,S,5600.0
Purdue,46,2008,DEM,H,3500.0
Purdue,46,2008,DEM,S,2600.0
