institution,rank_2025,party,total
Tulane,63,REP,1750.0
Oklahoma,132,REP,1700.0
Penn,10,REP,1650.0
Penn State,63,REP,1600.0
Maryland,44,REP,1550.0
Saint Louis,105,REP,1550.0
RPI,70,REP,1500.0
UT Dallas,109,REP,1500.0
Rice,18,REP,1450.0
Case Western,51,REP,1380.0
American,91,REP,1300.0
Georgia Tech,33,REP,1250.0
NC State,58,REP,1250.0
Rochester,44,REP,1250.0
South Carolina,121,REP,1250.0
UC Irvine,33,REP,1250.0
UC Berkeley,17,REP,1225.0
Dartmouth,15,REP,1000.0
Fordham,91,REP,1000.0
George Mason,109,REP,1000.0
Iowa St,121,REP,1000.0
UCF,121,REP,950.0
Oregon St,144,REP,915.0
Northeastern,54,REP,900.0
TCU,105,REP,900.0
Denver,121,REP,750.0
Univ at Buffalo,76,REP,750.0
Connecticut,70,REP,550.0
Thomas Jefferson,136,REP,550.0
Caltech,6,REP,500.0
Creighton,121,REP,500.0
Illinois Tech,105,REP,500.0
Lehigh,46,REP,500.0
UC Davis,33,REP,460.0
Villanova,58,REP,450.0
San Francisco,109,REP,300.0
UW Madison,39,REP,300.0
Carnegie Mellon,21,REP,250.0
Fla International,98,REP,250.0
Marquette,86,REP,250.0
Miami Oh,136,REP,225.0
NJIT,84,REP,225.0
Clarkson,152,REP,201.0
Clemson,80,REP,200.0
